disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5063,,,,,479513.79,11514.7,,2023-10-09T00:00:00.000Z,,0,980d02b1285dcda476d55bef5d04b4615e2d9977,2023-10-09T04:03:28.911Z,9959cc35-0d71-4c8c-9beb-0e8bbaabc565
5064,,,,,40562.99,1689.23,,2023-10-09T00:00:00.000Z,,0,3a83831afe5b07d7b013517dfc9cb5abe01a4b24,2023-10-09T04:03:28.911Z,b287c87c-570c-4586-9147-be0b274d2891
5065,,,,,152495.99,,,2023-10-09T00:00:00.000Z,,0,746f97215b3c4de6638ceb1963409d4ad2c9877e,2023-10-09T04:03:28.911Z,5baa039b-a8df-47ef-8493-c0f2a2c81d2e
5066,,,,,9630026.88,8440.78,,2023-10-09T00:00:00.000Z,,0,6f5e26c09cd679f9c74c8bbf90860ca15bba7d7c,2023-10-09T04:03:28.911Z,7c0cb5c2-cce3-421a-8623-073cb60acd1c
5067,,,,,8062198.55,212807.85,,2023-10-09T00:00:00.000Z,,0,615eaf5922dd6a32fe18931f140c0e7ca4f507a8,2023-10-09T04:03:28.911Z,b809ebdb-81dd-47a7-922d-9b37d4909013
5068,,,,,1134200.15,22006.12,,2023-10-09T00:00:00.000Z,,0,0694bcc6b591cfb4b770c9a456b1505b1770f6a2,2023-10-09T04:03:28.911Z,5e7a9b79-85f5-4f1f-9996-74b84b34764a
5069,,,,,2060560.04,18737.16,,2023-10-09T00:00:00.000Z,,0,a9a307f57688c685323bc4764e54b2f7a12f8cc0,2023-10-09T04:03:28.911Z,5dff8a08-01c1-4de7-b30f-83b342d1eed0
5070,,,,,9800754.63,17588.58,,2023-10-09T00:00:00.000Z,,0,da82095b1718b697b793688b1a9619f191d0fd82,2023-10-09T04:03:28.911Z,2cd953a4-6deb-419b-9a69-68f0386cc8d6
5071,,,,,9986747.15,4455.09,,2023-10-09T00:00:00.000Z,,0,a16608939708182bb69c69ea3ca2e83eb5256828,2023-10-09T04:03:28.911Z,be05934d-061d-4c9a-b0f1-e07d3a640ee7
5072,,,,,605304.22,10219.39,,2023-10-09T00:00:00.000Z,,0,7117509e5ea7528ccd8df9d1b62aca6091a0ef7d,2023-10-09T04:03:28.911Z,8127dd98-3e3f-4d4a-a830-67c1d15ed8e3
5464,,,,,,,,,,0,03bbdfb3f16656a03451c5eb61eb692038882a72,2023-04-19T23:02:34.175Z,dc58d5a8-5bdb-40d1-aa8a-77e72899924a
5073,,,,,863545.8,1586.94,,2023-10-09T00:00:00.000Z,,0,1b88ec72b98d9d65f07250e4c8240bb8cbb08765,2023-10-09T04:03:28.911Z,f24dde57-843c-42a6-a3f1-5eb72a19e533
